,ID,Example_A,Example_B,Example_C,Example_D,Answer,Length,Label
11083,How_to_Sell_a_Haunted_House_-_Grady_Hendrix,"The good news is that the puppet on your daughters arm, its a curse. And Barb? She eats curses for breakfast. I break the curse, find out which demon laid it, then we troop over to Mount Pleasant and Sister Gail blasts that demon out of your home. Sound good? Amen, Aunt Gail said. Amen, said Barb. Were going to take this curse and pop it like a pimple.","Fortunately, the puppet on your daughter's arm is cursed. Barb has a talent for undoing curses. I'll remove the curse, identify the demon responsible, then Sister Gail can banish the demon from your home at Mount Pleasant. Does this plan sound agreeable? Aunt Gail and Barb both said ""Amen"". We will eliminate this curse swiftly and completely.","The puppet your daughter holds is cursed, but don't worry. Barb is an expert at breaking curses. I'll lift the curse, learn which demon caused it, then together we'll visit Mount Pleasant where Sister Gail can force the demon from your house. Does this sound good? Aunt Gail and Barb both said ""Amen"". We'll pop this curse like a pimple. ","Luckily, your daughter's puppet is cursed, and Barb loves undoing curses. I'll remove the curse, find the demon behind it, then Sister Gail can expel the demon from your Mount Pleasant home. Sound good? Aunt Gail and Barb agreed, saying ""Amen"". We'll crush this curse easily.",A,small,0
10562,After_Death_-_Dean_Koontz,"Durand Calaphas. FIRE MARSHAL Durand Calaphas is indifferent to most people. Their lives hold no interest for him. In his estimation, their beliefs are generally foolish, and their passions are tedious. They have no destiny except to work, pay taxes, consume, and dieall while, preferably, making little trouble. In a world shaped to a more intelligent plan, there would be fewer of their kind, which is a basic doctrine of the New Truth.","Durand Calaphas. FIRE CHIEF Durand Calaphas does not care about most individuals. Their lives are uninteresting to him. He thinks their opinions are usually silly, and their strong feelings are tiresome. Their only fate is to work, pay taxes, use things, and pass away- hopefully causing little disruption. In a world designed more wisely, there would be fewer of these people, which is a key belief of the New Truth.","Durand Calaphas. FIRE SUPERVISOR Durand Calaphas is unmoved by most humans. Their existences do not fascinate him. He believes their views are largely foolish, and their passions are dull. They have no destiny but to be employed, pay levies, expend, and expire- preferably making minimal trouble. In a realm formed in a more intelligent way, there would be less of their kind, which is a fundamental tenet of the New Truth. ","Durand Calaphas. FIRE OFFICER Durand Calaphas does not care for most folk. Their lives do not interest him. He thinks their opinions are generally silly, and their emotions are tiresome. They have no fate except to work, pay taxes, use up, and pass on- hopefully causing little disturbance. In a world designed more wisely, there would be fewer of their kind, which is a core principle of the New Truth.",A,small,0
10967,Hello_Stranger_-_Katherine_Center,"Youre excused. Epilogue ONE YEAR AFTER that party, Mr. and Mrs. Kim kicked me out of my hovel. They were making a rooftop garden and needed it for a potting shed. Youre kicking me out? I said. But Mr. Kim wasnt having it. Go marry Helpful. Youre practically married, anyway. Maybe I will, I said, and then I held up the engagement ring on my finger.","I was forgiven. Conclusion A YEAR FOLLOWING that celebration, Mr. and Mrs. Kim ejected me from my shack. They were constructing a rooftop garden and required it for a potting shed. You're expelling me? I uttered. However Mr. Kim was not accepting it. Wed Helpful. You're essentially wedded, anyhow. Perhaps I will, I voiced, and afterward I displayed the engagement ring on my finger.","You're pardoned. Epilogue TWELVE MONTHS AFTER that festivity, Mr. and Mrs. Kim removed me from my hut. They were fabricating a rooftop garden and necessitated it for a potting shed. You're exiling me? I spoke. But Mr. Kim was not having it. Marry Helpful. You're nearly married, anyway. Maybe I will, I said, and then I presented the engagement ring on my finger. ","I'm forgiven. Afterword ONE CALENDAR YEAR FOLLOWING that celebration, Mr. and Mrs. Kim ejected me from my shack. They were constructing a rooftop garden and needed it for a potting shed. You're banishing me? I uttered. However Mr. Kim was not accepting it. Marry Helpful. You two are basically married, anyway. Perhaps I will, I voiced, and afterward I showed the engagement ring on my finger.",A,small,0
12084,Threads_That_Bind_-_Kika_Hatzopoulou,"You know what Im here for. You arent getting him. Hes under my protection. When did you decide to start taking in strays, Nalyssa? It certainly wasnt yesterday, or the day before that, when half the gangs in the Silts were banging on doors for help. How many dead bodies will I find on your safe havens roof? The elder woman gritted her teeth.","You are aware of my purpose here. You will not acquire him. He is under my guardianship. At what point did you choose to begin sheltering vagabonds, Nalyssa? It was assuredly not the previous day, or the day before when numerous gangs in the Silts were pleading for assistance. How many lifeless corpses might I discover on top of your sanctuaries roof? The senior lady clenched her teeth in frustration.","You comprehend my reason for being present. You shall not take hold of him. He is protected by me. When was it decided that you would start providing refuge to wanderers, Nalyssa? It was not yesterday, or the day prior, when many factions in the Silts were knocking for help. What number of expired bodies could I potentially find on the roof of your safe havens? The older woman gritted her teeth in irritation. ","You are cognizant of why I am here. You will be unsuccessful in obtaining him. He is under my safekeeping. At what juncture did you opt to commence offering shelter to vagabonds, Nalyssa? It assuredly was not the preceding day, or the day before when numerous gangs in the Silts were imploring for assistance. What quantity of lifeless corpses might I come across on top of your sanctuaries roof? The elderly lady clenched her teeth in frustration.",A,small,0
13591,The_Fairytale_Life_of_Dorothy_Gale_-_Virginia_Kantra,"I took a swift physical inventory—the tension in my face and neck, the dryness in my mouth and throat, my grinding teeth, my shaking hands.  Angry . Yes. The word settled inside me, hard and sure. I was angry at my mother for leaving. Angry at Sam for pointing out her choice. Angry with myself, for all the times I’d given up or gone along or failed to speak out because I was afraid of being abandoned. Rejected. I was angry at Aunt Em for not loving me enough, at Gray for using me, at Toni for needing me and dropping out, at Dr. Eastwick for dying, and Maeve Ward for being alive. ","I rapidly assessed my body's physical responses - the tension in my face and neck, the dryness of my mouth and throat, my clenched jaw, my trembling hands. Furious. That word settled firmly inside me. I was furious with my mother for abandoning me. Furious with Sam for highlighting her decision. Furious with myself, for all the times I'd acquiesced or complied or kept silent out of fear of being deserted. Discarded. I was furious with Aunt Em for not caring enough about me, with Gray for exploiting me, with Toni for relying on me then bailing, with Dr. Eastwick for passing away, and with Maeve Ward for still being around.  ","I took stock of my body's reactions - the tightness in my face and muscles, the arid feeling in my mouth and throat, my teeth grinding together, my unsteady hands. Enraged. That word took hold in my core. I was enraged at my mother for leaving me. Enraged at Sam for pointing to her choice. Enraged at myself, for all the times I'd surrendered or gone along with things or not spoken my mind because I feared abandonment. Rejection. I was enraged at Aunt Em for not loving me sufficiently, at Gray for using me, at Toni for needing me then dropping out, at Dr. Eastwick for dying, and Maeve Ward for still being here.","I quickly catalogued my physical responses - the strain in my face and neck, the dry feeling in my mouth and throat, my clenched teeth, my quivering hands. Furious. That word solidified within me. I was furious with my mother for abandoning me. Furious with Sam for highlighting her decision. Furious with myself, for all the times I'd given in or acquiesced or not voiced my thoughts out of fear of desertion. Discarding. I was furious with Aunt Em for not caring enough for me, with Gray for taking advantage of me, with Toni for depending on me then quitting, with Dr. Eastwick for passing on, and with Maeve Ward for still living.",A,medium,0
16078,Threads_That_Bind_-_Kika_Hatzopoulou,"The heat. The softness. A dulcet sense of embarrassment. Then she extracted herself from him and noiselessly slipped out of the pod. It was just before dawn, pink light draping softly over curtains and metal pods. The boarders slumbered, gentle sleeping noises heightening the early-morning tranquility. The window at the end of the room was cracked open. Rosa leaned on the sill with an older woman, chatting in Rossk and blowing their cigarette smoke out to the flushed city sky. When she saw Io approaching, the woman dropped her cigarette, inclined her head, and quickly left the room. Shes a Drifter, Rosa said, watching the woman recede. You know how they are with cutters. Drifters were nomadic travelers that journeyed the Wastelands from shelter to shelter. They were very superstitious about the moira-born. According to their lore, cutters in particular were believed to have had some nefarious part in the Collapse. Drifters didnt like to interact with them. So, said Rosa, eyeing Io wickedly. She offered Io her cup of coffee. The liquid was lukewarm and bitter, and Io handed it back after a single sip. Did you sleep with a boy? I slept next to a boy, Io answered quickly. Her lack of sexual experience was not something she cared to discuss before breakfast. Bah. Such a coward. Such a busybody. Rosa snorted through her nose, puffing a cloud of smoke. Wheres Saint-Yvess man? asked Io. With her cigarette, Rosa pointed to a man propped against the wall in the corridor, legs splayed before him, mouth open and drooling on his own shoulder.","The uncomfortable warmth. The soft feel. An embarrassed sweetness in the air. Then she silently pulled away from him and noiselessly exited the pod. It was just before sunrise, pink brightness gently laying over window treatments and metal sleeping pods. The residents slept, gentle slumber sounds amplifying the early-morning peace. The window at the room's end was open a crack. Rosa leaned on the edge chatting in Rossk and exhaling their cigarette fumes out to the rosy urban sky. When she noticed Io coming over, the lady dropped her smoke, nodded her head, and swiftly departed the room. She's a Wanderer, Rosa said, observing the lady disappear. You know their beliefs about the cutters. Wanderers were travelers who went from shelter to shelter in the Barrens. They were very wary of the moira-born. As per their tales, cutters specifically were assumed to have had some evil role in the Downfall. Wanderers avoided interacting with them. So, said Rosa, gazing at Io wickedly. She offered Io her cup of coffee. The liquid was lukewarm and bitter, and Io handed it back after one tiny taste. Did you sleep with a boy? I lay next to a boy, Io replied quickly. Her lack of sexual experience was not something she wished to talk about before breakfast. Bah. Such a scaredy-cat. Such a meddler. Rosa snorted through her nose, exhaling a cloud of smoke. Where's Saint-Yvess man? asked Io. With her cigarette, Rosa pointed to a man leaning against the wall in the hall, legs sprawled out, mouth open and drooling on his own shoulder.","The uncomfortable heat. The soft texture. An embarrassed sweet scent hanging in the air. Then she soundlessly withdrew from him and noiselessly slipped out of the pod. It was just before first light, pink glow laying gently over window treatments and metal sleeping pods. The occupants slept, gentle sleep noises amplifying the early-morning calm. The window at the room's end was cracked open. Rosa leaned on the edge conversing in Rossk and blowing their cigarette smoke out to the rosy urban sky. When she spotted Io approaching, the woman dropped her cigarette, tilted her head, and swiftly left the room. She's a Roamer, Rosa said, watching the woman disappear. You know their views on the cutters. Roamers were transient people who traveled the Wilds from shelter to shelter. They were very wary of the moira-born. As per their stories, cutters specifically were assumed to have had some sinister role in the Collapse. Roamers avoided interacting with them. So, said Rosa, gazing at Io wickedly. She offered Io her cup of coffee. The liquid was lukewarm and bitter, and Io handed it back after one small taste. Did you sleep with a boy? I lay next to a boy, Io answered quickly. Her lack of sexual experience was not something she cared to discuss before breakfast. Bah. Such a coward. Such a meddler. Rosa snorted through her nose, puffing a cloud of smoke. Where's Saint-Yvess man? asked Io. With her cigarette, Rosa pointed to a man propped against the wall in the passage, legs sprawled out, mouth open and drooling on his own shoulder.","The uncomfortable warmth. The soft feel. An embarrassed sweet scent permeating the air. Then she silently withdrew from him and soundlessly exited the pod. It was just before dawn, pink glow gently draping over curtains and metal sleeping pods. The occupants slept, gentle sleep sounds amplifying the early-morning quiet. The window at the room's end was open a crack. Rosa leaned on the edge conversing in Rossk and exhaling their cigarette smoke out to the flushed urban sky. When she noticed Io coming over, the woman dropped her cigarette, tilted her head, and swiftly left the room. She's a Vagabond, Rosa said, observing the woman disappear. You know their superstitions about the cutters. Vagabonds were transient people who journeyed the Wilds from shelter to shelter. They were very wary of the moira-born. As per their lore, cutters specifically were believed to have had some evil role in the Downfall. Vagabonds avoided interacting with them. So, said Rosa, gazing at Io wickedly. She offered Io her cup of coffee. The liquid was lukewarm and bitter, and Io handed it back after one tiny taste. Did you sleep with a boy? I lay next to a boy, Io answered quickly. Her lack of sexual experience was not something she wished to discuss before breakfast. Bah. Such a coward. Such a meddler. Rosa snorted through her nose, puffing a cloud of smoke. Where's Saint-Yvess man? asked Io. With her cigarette, Rosa pointed to a man leaning against the wall in the passage, legs sprawled before him, mouth open and drooling on his own shoulder.",A,large,0
15593,The_Fake_Mate_-_Lana_Ferguson,"We’ve had four bar fights in the last month—not to mention the pileups from all the black ice we’ve been getting . . . It’s been an utter nightmare in the ER. I think I’m getting carpal tunnel from all the stitches I’ve given lately.”   “You work too hard, dear, couldn’t they transfer you somewhere not so . . . I love working in the ER. Even on the most harrowing of days, I still go to bed at night knowing that I’m saving lives. So tell me about your mystery man. At least give me a species, dear.”   I know the most obvious choice to keep her appeased. She’s probably doing a little dance in her kitchen as we speak, thinking that her granddaughter is finally going to settle down with a nice wolf who will give her and my grandpa grandchildren. It makes me feel that much more guilty. Thinking about the model trains date strengthens my resolve though. When can I meet him? You could bring him to dinner . . . You haven’t been to visit in too long, honey. It would be so nice to see you and your new friend.”   “No, no,” I say quickly. We’re taking things slow. I don’t want to jinx it, you know? It could . . . There are dozens of eligible fake boyfriends working on my floor at this exact moment, and I can’t recall any of them. Is this punishment for lying to Gran? Is the universe cursing me for being a bad granddaughter? I can feel my hippocampus practically melting into a puddle of goo in my head, blanking on even one syllable that might wrap up my poorly planned lie in a neat little bow.","We've had numerous bar brawls over the past month, coupled with multiple pileups from the frequent black ice. The emergency room has been an absolute disaster. My wrists ache from stitching up so many wounds recently. ""Don't overexert yourself, dear. Perhaps they could move you somewhere less...hectic. I'm fond of working in emergency care. Even after the most strenuous days, I still go to sleep knowing I saved lives. So inform me about this mystery gentleman. At least provide me a species, dear."" ","Over the past month, we've dealt with numerous tavern brawls plus various pileups from the frequent icy roads. The emergency room has been sheer chaos. My wrists are sore from suturing so many lacerations recently. ""Don't overwork yourself, dear. Maybe they could relocate you somewhere less...hectic. I relish working in emergency services. Even after the most strenuous shifts, I still sleep at night knowing I rescued lives. So describe this mystery fellow. At least provide me a species, dear.""","In the past month, we've handled many saloon brawls plus various collisions from the frequent icy streets. The emergency room has been pure mayhem. My wrists ache from stitching countless wounds recently. ""Don't overexert yourself, dear. Perhaps they could move you somewhere less...hectic. I cherish working in emergency care. Even after the most strenuous shifts, I still sleep at night knowing I saved lives. So describe this mystery guy. At least provide me a species, dear."" ",A,large,0
13307,Quietly_Hostile_-_Samantha_Irby,"Or the interaction can go something like this: Me: I thought [name of innocuous movie that is perfectly fine] was good! Them (feigning shock): You did? Well I thought it was sophomoric garbage with no character development and an implausible ending. [Seriously, were talking about a thoroughly enjoyable popcorn movie here.] I cant believe youre into it! This is where they stopa satisfied smugness spreading across their slimy faceand wait expectantly for you to conjure a defense for a movie (or a book or a television show or the store where you buy shirts or the place where you get your cat groomed or) you didnt make and have no emotional attachment to.","Or our chat could go like this: I say: I enjoyed [name of a lighthearted movie]. Them (pretending to be appalled): You did? I thought it was silly trash with flat characters and a ridiculous finale. [We're discussing an entertaining popcorn flick.] I'm amazed you like it! Then they stop—looking smugly satisfied—and wait for you to defend a movie (or book, TV show, store, cat groomer...) you didn't create and don't care about.  ","Or we might talk like this: I say: I liked [name of an easygoing movie]. Them (acting shocked): Really? I thought it was dumb junk with no character growth and an unbelievable ending. [This is just an enjoyable popcorn flick.] I can't believe you enjoy it! Then they pause—a smug expression on their unpleasant face—expecting you to justify a movie (or book, show, shop, cat salon...) you didn't make and have no attachment to.","Our chat could also go this way: I say: I enjoyed [name of a light movie]. Them (pretending to be horrified): What? I thought it was silly trash with flat characters and a ridiculous ending. [This is just a fun popcorn flick.] I'm stunned you like it! Then they stop—looking self-satisfied—and wait for you to defend a movie (or book, show, store, cat groomer...) you didn't create and aren't invested in.",A,medium,0
15368,Romantic_Comedy_-_Curtis_Sittenfeld,"In fact, I did before he did, and as I moaned, with his right shoulder by my mouth and his mouth by my left ear, he said in a low, quiet voice, Oh, Sally, and then he pulled out and ejaculated all over my stomach and I thought about how Jessa, the older daughter of my mothers best friend, had told me when I was thirteen that when you didnt like a guy, the disgusting things about sex were disgusting, and when you did like a guy, the disgusting things about sex were sexy. I tugged Noah onto me, and he said, Am I too heavy? and I said, Youre perfect, and we both lay still for a long time, my arms wrapped around him, his full weight on me, his face pressed against my neck, his left hand fiddling with my hair. My mind wasnt racing; I wasnt nervous; there was nothing other than this that I wanted. After some number of minuteseight? Or twenty-five?he rolled off me, onto his side, and pulled me so I was on my side, too, so we were facing each other and he looked at me from about three inches away with such intensity and affection that I had to avert my gaze; I couldnt help it. But then I looked back at him and said, Youre definitely worth driving twenty-six hours for. And definitely not boring, even though you dont work at TNO.","In truth, I climaxed before he did. As I vocalized my pleasure, with his right shoulder next to my mouth and his mouth next to my left ear, he uttered softly and calmly, ""Oh Sally."" He then extracted and released onto my stomach. I reminisced about how Jessa, the older daughter of my mom's best friend, had informed me at age thirteen that when a female does not harbor affection for a male, the unpleasant aspects of intimacy are unpalatable, yet when fondness does exist, those same unpleasant factors become stimulating. I pulled Noah against me and he asked if his mass was excessive upon me. I told him he was flawless. We remained motionless for numerous minutes, my arms holding him, his full body weight atop me, his face pressed to my neck, his left hand fiddling with my hair. My mind was tranquil and content; there was nothing besides this intimacy that I desired. After some passage of minutes - eight? Twenty-five? - he rolled off me onto his side and positioned me onto my side as well, so we faced each other. From around three inches away he gazed at me with such fervency and tenderness that I had to avert my eyes briefly. But then I looked back at him and stated, ""You are undoubtedly worthwhile to drive twenty-six hours to reach. And absolutely not monotonous, despite not being employed at TNO.""","Indeed, I peaked prior to when he did. And as I exclaimed in elation, with his right shoulder adjacent to my mouth and his mouth adjacent to my left ear, he murmured in a gentle, composed tone, ""Oh Sally."" He then removed himself and released onto my abdomen. I reminisced regarding how Jessa, the elder daughter of my mother's best companion, had enlightened me at the age of thirteen that when a woman does not care for a man, the unpleasant facets of intimacy are repugnant, yet when fondness is present, those same unpleasant factors become rousing. I pulled Noah against me and he asked if I found his body mass to be excessive upon me. I assured him he was flawless. We lingered motionless for numerous minutes, my arms embracing him, his full body weight atop me, his face pressed to my neck, his left hand fiddling with my hair. My mind was calm and content; there was nothing besides this closeness that I yearned for. After some passage of minutes - eight? Twenty-five? - he rolled off me onto his side and positioned me onto my side as well, so we faced one another. From around three inches away he gazed at me with such ardor and affection that I had to avert my eyes momentarily. But then I looked back at him and voiced, ""You are undoubtedly worthwhile to travel twenty-six hours to be with. And absolutely not monotonous, despite not working at TNO.""  ","In actuality, I peaked before he did. And as I cried out in rapture, with his right shoulder next to my mouth and his mouth next to my left ear, he murmured gently and composedly, ""Oh, Sally."" He then pulled out and released onto my stomach. I reminisced regarding how Jessa, the elder daughter of my mom's best friend, had enlightened me at age thirteen that when a female does not care for a male, the unpleasant aspects of intimacy are repulsive, yet when fondness exists, those same unpleasant factors become stimulating. I dragged Noah against me and he asked if he was too heavy upon me. I assured him he was flawless. We lingered motionless for numerous minutes, my arms embracing him, his full body weight atop me, his face pressed to my neck, his left hand fiddling with my hair. My mind was tranquil and fulfilled; there was nothing besides this closeness that I craved. After some passage of minutes - eight? Twenty-five? - he rolled off me onto his side and positioned me onto my side as well, so we faced one another. From around three inches away he gazed at me with such fervor and tenderness that I had to avert my eyes briefly. But then I looked back at him and uttered, ""You are undoubtedly worthwhile to travel twenty-six hours to be with. And absolutely not monotonous, despite not working at TNO.""",A,large,0
12881,Hedge_-_Jane_Delury,"An overstuffed chair and a footrest sat in the middle of the room. Youve read all these books? Maud said. I read four hours a day. Adds up. Alice waved at a wall. Youll find your girl Virginia scattered over there. Normally Maud would now ask Alice about her favorite Woolf novel or tell an anecdote about Monks House. But she was pretty sure that such an aside wouldnt be met with the expected engaged response. She didnt want to stand here holding another door open, only to have Alice blink at her and not budge. Ready to see the design? she said.","A stuffed armchair and ottoman were positioned in the room's center. ""You've read all these volumes?"" Maud inquired. ""I peruse four hours daily. Accumulates."" Alice gestured toward a wall. ""You'll come across your woman Virginia dispersed there."" Typically Maud would inquire about Alice's preferred Woolf work or recount an amusing tale regarding Monks House. However, she was quite certain such a digression would not elicit the anticipated interested reaction. She had no desire to linger here propping another entrance ajar, solely for Alice to gape obliviously at her. ""Prepared to observe the blueprint?"" she stated.  ","An overfull armchair and footstool were placed in the middle of the chamber. ""Have you perused all these tomes?"" Maud queried. ""I pore over four hours every day. Piles up."" Alice waved at a barrier. ""You'll find your girl Virginia scattered there."" Ordinarily Maud would now ask Alice about her favored Woolf volume or narrate an anecdote regarding Monks House. But she was quite convinced that such a tangent would not be greeted with the expected engaged response. She did not wish to stand here holding another portal open, only for Alice to blink vacantly at her. ""Ready to view the design?"" she said.","A stuffed chair and ottoman sat centered in the room. ""You've read all these volumes?"" Maud asked. ""I read four hours daily. Adds up."" Alice gestured at a wall. ""You'll find your woman Virginia spread over there."" Normally Maud would now inquire about Alice's preferred Woolf work or recount a tale about Monks House. But she felt certain such a digression would not elicit the expected interested reaction. She did not want to linger holding open another door, just for Alice to stare blankly back. ""Ready to see the design?"" she said.",A,medium,0
14864,Hedge_-_Jane_Delury,"That guy is so weird, she said when, out of earshot, they were walking along the drive. Dont say that, Ella, Maud said. You cant judge a book by its cover, Louise singsonged and waved her bouquet. I know that, Ella said. Its justhe kind of freaks me out. The way he looks without looking. I see what you mean, Maud said. But hes nice. I promise. Hes just different. Chris had looked at Ella the same way he looked at Louise, which was the same way that he sometimes looked at Maud or Gabriel or his father. There was nothing sexual to the gaze. But maybe it was enough to be stared at by a man for Ella to feel uncomfortable. As they took the shortcut through the orchard, Maud remembered visiting a public pool with her friend when she was eleven. There was one man on a plastic lounger who, every time they passed, would inspect them from head to toe with a half-smile on his face. Shed felt exposed, embarrassed, felt something was wrong, although she wasnt sure what. Thirty years later, she could still see it clearly: the Coke balanced on the mans hirsute belly, his thick purple lips and hungry eyes. At five oclock, as she skewered chicken and peppers on kebab sticks in the kitchen, she listened tensely while Louise told Peter about how Gabriel had helped her and Ella catch a frog in the pond the previous night.","That man is peculiar, she uttered when out of hearing range as they walked on the road. Do not speak in that manner, Ella, Maud responded. One cannot determine value from appearance, Louise sang and waved her flowers. I understand, Ella replied. His demeanor just unsettles me. The manner he gazes without looking directly. I see your perspective, Maud stated. However, he is pleasant. I promise you. He is simply unique. Chris had looked at Ella identically to how he looked at Louise, which was the same as he occasionally looked at Maud or Gabriel or his father. The stare had no sexual intent. But perhaps it was sufficient to be examined by a man for Ella to feel uncomfortable. As they took the shortcut through the orchard, Maud recalled visiting a public pool with her companion when she was eleven. There was one man on a plastic lounge chair who, whenever they walked by, would inspect them from head to toe with a half-smile on his face. She had felt exposed, embarrassed, felt something was amiss, although she was uncertain what. Thirty years later, she could still envision it clearly: the Coke balanced on the man's hairy stomach, his thick purple lips and hungry eyes. At five o'clock, as she skewered chicken and peppers on kebab sticks in the kitchen, she listened tensely while Louise told Peter about how Gabriel had helped her and Ella catch a frog in the pond the previous night.","That gentleman is peculiar, she uttered when beyond earshot as they walked on the road. Do not speak that way, Ella, Maud responded. One cannot judge value from appearance, Louise sang and waved her flowers. I am aware, Ella replied. His demeanor just unsettles me. The manner he observes without direct eye contact. I understand your viewpoint, Maud stated. However, he is pleasant. I assure you. He is simply unique. Chris had looked at Ella identically to how he looked at Louise, which was the same as he occasionally looked at Maud or Gabriel or his father. The stare had no sexual intent. But perhaps it was sufficient to be examined by a man for Ella to feel uncomfortable. As they took the shortcut through the orchard, Maud remembered visiting a public pool with her friend when she was eleven. There was one man on a plastic lounge chair who, whenever they walked by, would inspect them from head to toe with a half-smile on his face. She had felt exposed, embarrassed, felt something was wrong, although she was uncertain what. Thirty years later, she could still picture it clearly: the Coke balanced on the man's hairy stomach, his thick purple lips and hungry eyes. At five o'clock, as she skewered chicken and peppers on kebab sticks in the kitchen, she listened tensely while Louise told Peter about how Gabriel had helped her and Ella catch a frog in the pond the previous night.  ","That man is odd, she uttered when out of earshot as they walked on the road. Do not speak that way, Ella, Maud responded. One cannot judge value from appearance, Louise sang and waved her flowers. I know, Ella replied. His demeanor just unsettles me. The manner he looks without direct eye contact. I understand your perspective, Maud stated. However, he is pleasant. I assure you. He is simply unique. Chris had looked at Ella identically to how he looked at Louise, which was the same as he occasionally looked at Maud or Gabriel or his father. The stare had no sexual intent. But perhaps it was sufficient to be examined by a man for Ella to feel uncomfortable. As they took the shortcut through the orchard, Maud remembered visiting a public pool with her friend when she was eleven. There was one man on a plastic lounge chair who, whenever they walked by, would inspect them from head to toe with a half-smile on his face. She had felt exposed, embarrassed, felt something was amiss, although she was uncertain what. Thirty years later, she could still picture it clearly: the Coke balanced on the man's hairy stomach, his thick purple lips and hungry eyes. At five o'clock, as she skewered chicken and peppers on kebab sticks in the kitchen, she listened tensely while Louise told Peter about how Gabriel had helped her and Ella catch a frog in the pond the previous night.",A,large,0
15031,How_to_Sell_a_Haunted_House_-_Grady_Hendrix,"It clamped itself around her hand and squeezed so hard she felt blood pulse in her fingertips. Louise leapt to her feet and whatever it was came with her, a heavy lump clinging to the end of her arm, rippling and alive. It gave a single muscular pulse and slid a few inches up her wrist. Louise drew her hand back and flung her arm forward, hard, and her forearm got lighter and something flew across the room and thudded into the wall and bounced into the streetlights splash of light in the middle of the floor. Pupkin. you left me all alone you left me behind you tried to forget about me you left me in the dark Impossibly, without anyone moving him, he bent forward and climbed unsteadily onto his little nubbin legs. The empty sleeve of his puppet hole hung behind him like a tail. He puffed up his chest and turned his face to her and they looked at each other. Pupkin was back. And he hated her. His little plastic face stretched, his chin crumpled and popped as his tiny mouth opened wide, and he hissed at her. Then he surged forward, coming at her, body hunching and releasing fast, faster than the squirrels, leaving the spill of streetlight and entering the shadows, coming for her feet. no no no no no no no no no no She fell back onto her bed and pulled her legs up after her, but Pupkin scrambled up the blankets that hung to the floor.","It tightly wrapped itself around her hand, compressing so firmly that she sensed blood beating in her fingertips. Louise jumped up and whatever it was came with her, a substantial lump clinging to the end of her arm, undulating and living. It gave one muscular squeeze and slid several inches up her wrist. Louise pulled her hand back and flung her arm forward with force, and her forearm became lighter as something soared across the room, hitting the wall and bouncing into the splash of light from the streetlights in the middle of the floor. Pupkin, you abandoned me, you left me behind, you tried to forget me, you left me in the darkness. Impossibly, without anyone moving him, he tilted forward and unsteadily climbed onto his small legs. The empty sleeve of his puppet hole hung behind him like a tail. He expanded his chest and turned his face to her and they looked at each other. Pupkin was back, and he despised her. His little plastic face stretched, his chin wrinkled and popped as his tiny mouth opened wide, and he hissed at her. Then he surged forward, rushing at her, body hunching and straightening rapidly, faster than the squirrels, leaving the splash of light and entering the shadows, heading for her feet. ","It firmly wrapped itself around her hand, compressing so hard that she felt blood pulsing in her fingertips. Louise jumped up and whatever it was came with her, a heavy lump clinging to the end of her arm, rippling and alive. It squeezed forcefully and slid several inches up her wrist. Louise pulled her hand back and flung her arm forward vigorously, and her forearm became lighter as something flew across the room, hitting the wall and bouncing into the splash of light from the streetlights in the middle of the floor. Pupkin, you left me alone, you abandoned me, you tried to forget me, you left me in the darkness. Impossibly, without anyone moving him, he leaned forward and shakily climbed onto his small legs. The empty sleeve of his puppet hole hung behind him like a tail. He expanded his chest and turned his face to her and they looked at each other. Pupkin was back, and he detested her. His little plastic face stretched, his chin wrinkled and popped as his tiny mouth opened wide, and he hissed at her. Then he rushed forward, charging at her, body hunching and straightening rapidly, faster than the squirrels, leaving the splash of light and entering the shadows, heading for her feet.","It firmly wrapped itself around her hand, squeezing so hard that she felt blood pulsing in her fingertips. Louise jumped up and whatever it was came with her, a heavy lump clinging to the end of her arm, rippling and alive. It squeezed forcefully and slid several inches up her wrist. Louise pulled her hand back and flung her arm forward vigorously, and her forearm became lighter as something flew across the room, hitting the wall and bouncing into the splash of light from the streetlights in the middle of the floor. Pupkin, you abandoned me, you left me behind, you tried to forget me, you left me in the darkness. Impossibly, without anyone moving him, he leaned forward and unsteadily climbed onto his small legs. The empty sleeve of his puppet hole hung behind him like a tail. He expanded his chest and turned his face to her and they looked at each other. Pupkin was back, and he detested her. His little plastic face stretched, his chin wrinkled and popped as his tiny mouth opened wide, and he hissed at her. Then he charged forward, rushing at her, body hunching and straightening rapidly, faster than the squirrels, leaving the splash of light and entering the shadows, heading for her feet.",A,large,0
